header	Is your research data automatically backed up?	Did you lose any research data in the past year?	You said you lost research data in the past year. How much time did you lose?	How frequently do you have problems finding a specific research data file in your collection?	Do you currently use any dedicated tools for research data management, for example, an electronic lab notebook, or a version control system (such as Git)?	You said that you are currently using tools for data management. What are these tool(s)?	Would you be interested in trying out a dedicated tool for research data management?	Does your project have a data management plan?	Do you know who owns the research data that you are creating?	You said you know who owns the research data that you are creating. Who is it?	Who do you think is responsible for the stewardship of research data resulting from your project?	Are you aware of funders’ expectations for Findable, Accessible, Interoperable and Reusable (FAIR) data?	Are you aware of research data repositories?	Please provide us with the name(s) of the repository(ies) that you are using	Please indicate if you (or related staff / students) would be interested in any potential training on research data management	Which institution are you from?	Have you heard about dedicated support for research data management at EPFL?	Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines for data curation (what data to preserve, what metadata and documentation to link to data)]	Among the data curation services indicated below, which would be helpful for your research data management? [Availability of an institutional repository]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a repository]	Among the data curation services indicated below, which would be helpful for your research data management? [Support for depositing data in a repository (includes choice of datasets to be deposited, choice of metadata, data preparation for depositing, link between datasets and publications)]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for data anonymization in case of sensitive data]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines on data re-use policy (how to find data, how to cite data, legal and ethical aspects)]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a license to apply to your data]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for cleaning and managing data in the laboratory (evaluation of the data life-cycle management in the laboratory, analysis of data workflows, guidelines on data format and interoperability of datasets)]	Among the data curation services indicated below, which would be helpful for your research data management? [Advice for storage and security issues]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for verifying data integrity and checking data obsolescence]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for putting in practice the DMP]	Among the data curation services indicated below, which would be helpful for your research data management? [Support for costing data management]	Do you share data files associated with your publications?	Please specify where you share your data	What is your position?	Do you know where to look for available ICT resources (e.g. storage options, available software) at TU Delft?	Have you heard of 4TU.Centre for Research Data archive (https://www.4tu.nl/en/research/)?	Have you heard about the Data Stewardship project and dedicated support for data management at your faculty?	Which faculty are you from?	Uni
167	Yes	No		Almost never	Yes	git, PostgreSQL		Yes	Yes	All in the public domain: Code is released under the GPL v3 and binary data under Creative Commons	Myself	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation;Data ownership and licensing;Using version control software	EPFL	Yes, I have already used it	Not sure	Yes, urgently	Yes	Yes	Not sure	Not sure	Yes, urgently	Yes	Yes	Not sure	Yes	Yes, urgently	Yes, often	c4science, Github, Gitlab, lab-owned svn server, directly via e-mail	Ambizione Fellow					Delft
168	Yes	No		Sometimes	No		Yes	Not sure	Yes	The owner of the funding and the researchers	Myself;My supervisor	No	Not sure		General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets	EPFL	Yes	Yes, urgently	Not sure	Not sure	Yes, urgently	Not sure	Yes	Not sure	Yes, urgently	Yes	Not sure	Yes	Not sure	Yes, sometimes	cement and concrete researh	Postdoc/researcher					Delft
169	No	Yes	1 day - 7 days	Never	No		Yes	No	Yes	The research institution	Myself;My supervisor;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets	EPFL	Yes, I have already used it	Yes	Yes	Yes	No	No	No	No	No	No	Yes	Yes	Yes	No		Postdoc/researcher					Delft
170	Yes	Not sure		Sometimes	Yes	One Note		No	Yes	My institution (EPFL)	Myself;My supervisor;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator)	Not sure	Not sure		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	EPFL	Yes	Yes, urgently	Yes, urgently	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes, often	Email to people that ask	Postdoc/researcher					Delft
171	No	No		Almost never	No		Yes	Not sure	No		Myself;My university/institution	Not sure	Yes, I am already using them to find existing datasets or to share my own data	NCBI	General introduction to research data management;Organising folders and files;Data management plan preparation;Using version control software	EPFL	No	Not sure	Yes	No	No	No	Yes	No	Yes	No	No	Not sure	No	Yes	NCBI	Postdoc/researcher					Delft
172	Yes	No		Frequently	No		Yes	No	Yes	EPFL institute	Myself;My supervisor	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management	EPFL	No	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	Yes	Yes	Yes, sometimes	Data Banks (e.g. EMDB)	Postdoc/researcher					Delft
173	No	No		Almost never	No		Yes	No	Not sure		Myself;My university/institution;Project partner (e.g. commercial company or a collaborator)	No	Yes, I am aware of research data repositories, but I have not used them		Data management plan preparation;Data backup and storage solutions	EPFL	No	Yes	Yes	Not sure	Yes	Not sure	Not sure	Not sure	Yes	Not sure	Not sure	Not sure	Not sure	No		Postdoc/researcher					Delft
174	Not sure	No		Almost never	Yes	Git, dropbox. Older data just archived.		Not sure	Yes	EPFL and/or industrial partners in specific projects.	Myself;My university/institution;I think country or European-wide repositories should be created.	No	Yes, I am aware of research data repositories, but I have not used them		Data backup and storage solutions;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Not sure	Not sure	No		Postdoc/researcher					Delft
175	Not sure	No		Frequently	No		Not sure	No	Not sure		Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation	EPFL	No	Not sure	Yes	Yes	Yes	Not sure	Yes	Yes	Not sure	Yes	Yes	Yes	Yes	Yes, often	Dropbox, local server						Delft
176	Yes	No		Sometimes	No		Yes	No	Yes	Me	Not sure	Yes	Yes, I am aware of research data repositories, but I have not used them		Organising folders and files;Data backup and storage solutions;Data ownership and licensing	EPFL	Yes, I have already used it	Yes	No	Yes	Yes	No	No	Yes	Yes	No	Yes	No	No	No							Delft
177	Yes	No		Almost never	No		Yes	Yes	Not sure		Myself;My supervisor	Not sure	Not sure		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	EPFL	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Not sure		Postdoc/researcher					Delft
178	Yes	No		Almost never	No		Yes	Not sure	Not sure		Myself;My university/institution	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Not sure	Not sure		Postdoc/researcher					Delft
179	Yes	No		Almost never	Yes	SVN, Dropbox		No	No		Myself	No	No, I have no idea what these are		General introduction to research data management;Data management plan preparation;Data ownership and licensing;Using version control software	EPFL	No	No	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No		Postdoc/researcher					Delft
180	Yes	No		Sometimes	Yes	MySQL database, file system, SLIMS, Network storage, Physical backup in HDD		Yes	Yes	Myself,[anonymized], EPFL and Switzerland	Myself;My supervisor;My university/institution	No	No, I have no idea what these are		How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	Yes, I have already used it	No	Yes	Not sure	Yes	Yes	Yes	Yes, urgently	Yes	Yes	Yes	Yes	Yes	Yes	[anonymised]	Postdoc/researcher					Delft
181	No	No		Frequently	No		Yes	No	Not sure		Myself;Not sure	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing	EPFL	Yes, I have already used it	Yes	Yes	Not sure	Yes	No	Not sure	Not sure	Not sure	Yes	Yes	Yes	Yes	No		Full Professor					Delft
182	No	No		Sometimes	Yes	Git		No	Yes	CERN	Myself;My university/institution;My funding agency	No	No, I have no idea what these are		General introduction to research data management;Organising folders and files;Funders’ requirements for data management and sharing	EPFL	No	Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	No		Postdoc/researcher					Delft
183	No	No		Sometimes	Yes	git		Not sure	No		Myself	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Not sure	No	Yes	On my webpage	Postdoc/researcher					Delft
184	No	No		Almost never	No		Yes	Not sure	Yes	The Institution I work in	Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing	EPFL	Yes	Yes	Yes, urgently	Yes	No	No	Yes	Yes	Not sure	No	Yes	Yes	Not sure	No		Postdoc/researcher					Delft
185	Yes	No		Frequently	Yes	GIT		No	No		My unit's IT manager;My university/institution	Yes	No, I have no idea what these are		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Funders’ requirements for data management and sharing	EPFL	No	Yes, urgently	No	No	No	No	No	No	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Not sure		Technical or scientific support staff					Delft
186	No	No		Almost never	No		Yes	No	Yes	my supervisor and myself	Myself;My supervisor	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	EPFL	No	Yes	Yes	Yes	Not sure	Not sure	Not sure	Not sure	Yes	Yes	Yes	Not sure	Not sure	Not sure		Postdoc/researcher					Delft
187	Yes	No		Almost never	Yes	Git, GitHub, AiiDA		Not sure	Yes	By the group, including code, which on the other hand is released open source under an MIT license.	Myself	No	Yes, I am already using them to find existing datasets or to share my own data	ICSD	Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Working with confidential data (personally identifiable, commercially sensitive etc.);Software carpentry (https://software-carpentry.org/)	EPFL	No	Yes	Yes	Yes	Not sure	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Not sure	Not sure		Technical or scientific support staff					Delft
188	No	No		Never	No		Yes	No	Yes	EPFL	My supervisor	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Using version control software	EPFL	Yes	Yes	Yes	Yes	Yes, urgently	Yes	Not sure	Not sure	Yes	Yes	Yes	Not sure	Not sure	No		Postdoc/researcher					Delft
189	No	No		Almost never	No		Yes	No	Not sure		Myself	No	Yes, I am aware of research data repositories, but I have not used them		How to use repositories for data sharing and searching for existing datasets	EPFL	No	Not sure	Yes, urgently	Yes, urgently	Yes	Yes	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure		Postdoc/researcher					Delft
190	No	No		Sometimes	No		Yes	No	Yes	My laboratory 	Myself	Yes	Not sure		Not interested in training	EPFL	No	No	No	Not sure	Not sure	Yes	Yes	Yes	No	No	Not sure	Not sure	Not sure	No		Postdoc/researcher					Delft
191	Yes	No		Almost never	No		No	Yes	Yes	EPFL 	Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data backup and storage solutions;Data café informal drop in sessions	EPFL	Yes	Not sure	Yes	Yes	Yes	Not sure	Yes	Yes	No	No	No	No	No	Yes, sometimes	In supplementary information files at the publishing house	Adjunct or MER Professor					Delft
192	Yes	No		Sometimes	Yes	LIMS		No	Yes	Our institution	Myself;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation;Funders’ requirements for data management and sharing;Software carpentry (https://software-carpentry.org/)	EPFL	Yes	Yes	Yes	Yes	Yes	Not sure	Not sure	Not sure	Yes	Yes	Not sure	Yes, urgently	Yes	Yes, sometimes	SLIMS	Adjunct or MER Professor					Delft
193	Yes	No		Almost never	Yes	git		Not sure	Not sure		Not sure	No	Yes, I am already using them to find existing datasets or to share my own data	github.com	Not interested in training	EPFL	Yes	Not sure	Yes	Not sure	Not sure	No	Yes	Yes	Yes	Yes	Yes	Yes	Not sure	Yes, sometimes	github.com	Postdoc/researcher					Delft
194	Yes	No		Almost never	No		No	No	Not sure		Myself	Yes	Not sure		Not interested in training	EPFL	Yes	No	No	No	No	No	Not sure	No	No	No	No	No	No	Yes, often	Before publication: I send it in emails or share on dropbox, sometimes google drive. And everything that is relevant becomes part of the publication. At least is attached in the supplementary information.	Postdoc/researcher					Delft
195	Yes	No		Sometimes	No		Yes	Yes	Yes	PI's	Myself;My unit's IT manager;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions	EPFL	No	No	Yes	No	No	No	No	No	Yes	Yes	Yes	No	No	Yes, sometimes	arxiv	Technical or scientific support staff					Delft
196	No	No		Never	No		No	No	Not sure		Myself;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing	EPFL	No	Yes	Yes	Yes	Not sure	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No		Technical or scientific support staff					Delft
197	Not sure	No		Sometimes	No		Yes	Not sure	Not sure		Myself;My unit's IT manager	No	No, I have no idea what these are		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets	EPFL	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes, urgently	No	No	No	Yes, sometimes	Google drive	Technical or scientific support staff					Delft
198	Yes	No		Almost never	Yes	git		Not sure	Not sure		Myself;My supervisor;My university/institution	Not sure	Not sure		Organising folders and files;How to use repositories for data sharing and searching for existing datasets	EPFL	No	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Yes	Yes	Yes	Not sure	Not sure	Yes, often	supplementary materials associated with the paper	Postdoc/researcher					Delft
199	Yes	No		Almost never	No		Yes	No	Yes	my lab	Myself;My unit's IT manager	No	Not sure		General introduction to research data management;Data management plan preparation	EPFL	No	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	Yes	No	No		Technical or scientific support staff					Delft
200	Yes	No		Almost never	No		Yes	Not sure	Yes	Environmental Remote Sensing Lab	Myself;My funding agency	Not sure	Yes, I am already using them to find existing datasets or to share my own data	Pangaea	Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	EPFL	Yes	Yes	Yes	Yes	Yes	Not sure	Yes	Yes	Yes	Yes	Yes	Yes	Not sure	Yes, sometimes	Public and project repository, also via direct transfer of data.	Associate Professor					Delft
201	No	No		Almost never	No		Yes	No	Yes	EPFL	Myself;My supervisor;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator)	Yes	Yes, I am already using them to find existing datasets or to share my own data	GenBank, European Nucleotide Archive (http://www.ebi.ac.uk/ena)	General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets	EPFL	Yes	Yes, urgently	Yes, urgently	Yes	No	No	Yes	No	Yes	Yes	No	No	No	Yes, often	European Nucleotide Archive (http://www.ebi.ac.uk/ena) 	Postdoc/researcher					Delft
202	Yes	No		Sometimes	Yes	Git, Git-hub, c4science		Not sure	Yes	Code is owned by the Lab where it is produced; rights on the data that we are mining remains with the libraries who provided us the data.	Myself;My supervisor;My funding agency	No	Yes, I am already using them to find existing datasets or to share my own data	zenodo.org	General introduction to research data management;Data management plan preparation;Data backup and storage solutions;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/)	EPFL	Yes	Yes	Not sure	Yes	Yes	Yes	Yes	Yes	Yes	Not sure	Not sure	Yes	Yes	Yes, often	GitHub, Zenodo	Postdoc/researcher					Delft
203	Yes	No		Almost never	No		Not sure	No	Not sure		Myself;My supervisor	No	No, I have no idea what these are		General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing	EPFL	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	Not sure		Postdoc/researcher					Delft
204	No	No		Sometimes	Yes	GIT, custom software		No	Yes	EPFL	Myself;My unit's IT manager	Yes	Not sure		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions	EPFL	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes, urgently	Yes, sometimes	On demand	Postdoc/researcher					Delft
205	Yes	No		Almost never	Yes	Git and SVN		Yes	Not sure		Myself;My supervisor;My unit's IT manager	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Using version control software	EPFL	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes, sometimes	Journal website	Postdoc/researcher					Delft
206	Yes	No		Sometimes	No		Yes	No	Not sure		Myself;My supervisor;My university/institution	Not sure	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	Yes	Yes	Yes	Yes	Yes	Not sure	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No		Postdoc/researcher					Delft
207	Not sure	No		Never	No		Not sure	No	Yes	I and my colleages	Myself;My supervisor;My unit's IT manager;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator)	Not sure	Not sure		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	No	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	No		Postdoc/researcher					Delft
208	Yes	No		Almost never	Yes	Dassault Smarteam, Alfresco and others		Yes	Yes	myself	Myself;My funding agency;Project partner (e.g. commercial company or a collaborator)	Yes	Yes, I am already using them to find existing datasets or to share my own data	contractual	Organising folders and files;Using version control software;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes, sometimes	Contract partners	Technical or scientific support staff					Delft
209	Yes	No		Frequently	No		Yes	Not sure	Yes	Our university for the most part of our projects. In some special cases, it could be owned by a third party company funding the research.	Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets	EPFL	Yes	Yes, urgently	Yes	Yes	Yes	Not sure	Yes	Yes	Yes	Yes	Yes	Yes	Not sure	Yes, sometimes	In supplementary data at the editor if the type of data fits that format. Else it is made available upon request by email to the corresponding author	Postdoc/researcher					Delft
210	No	No		Almost never	No		Not sure	No	Yes	It is our research group, and depending on the project, we share them with scientific and/or industrial partners	Myself	Yes	No, I have no idea what these are		General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets	EPFL	No	Not sure	Yes	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Yes	Not sure	Not sure	Not sure	No		Adjunct or MER Professor					Delft
211	Yes	No		Almost never	Yes	Git + git-lfs (work in progress)		Not sure	No		Myself;My supervisor;My unit's IT manager;My university/institution	No	No, I have no idea what these are		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	EPFL	Yes	Yes	Yes	Yes	Yes	No	Not sure	Yes	Yes, urgently	Yes	Not sure	Yes	Not sure	Not sure		PhD student					Delft
212	Yes	No		Almost never	Yes	"Benchling is used for daily lab notebook and occasionally gel images of PCR products and digest/ligation results (for molecular cloning), but raw experimental data is typically stored in Dropbox, OneDrive, and the lab server.

I have used Github in the past for backup and version control for research software development. "		Yes	Not sure		Myself;My supervisor;My unit's IT manager;My university/institution	Not sure	Not sure		Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	EPFL	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No	Yes	I provide raw data accessible via supplementary data files on the journal publisher's website.	Postdoc/researcher					Delft
213	Yes	No		Sometimes	Yes	I did not say that I am using a data management tool. An ELN is not a data management tool. We are using LIMS system with ELN functions that should at some point have data management tools integrated		Yes	Not sure		Myself;My unit's IT manager;My university/institution;You are not considering the special case of technology platforms	Not sure	Yes, I am already using them to find existing datasets or to share my own data	PRIDE (PRoteomics IDEntifications) database for data, GitHub-C4 for software, and considering using Panorama for targeted analysis data dissemination and other repositories requested by publication bodies.	Data backup and storage solutions;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	Yes	Yes, urgently	Yes, urgently	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Public repositories like PRIDE and PANORAMA that specific for Proteomics data	Head of technology platform					Delft
214	Yes	No		Almost never	No		Yes	No	Yes	EPFL. In case of patent, the inventors receive also part of royalties	Myself;My supervisor	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/)	EPFL	No	Yes	Yes, urgently	Yes	Yes	No	Not sure	No	Yes	Yes	Yes	Yes	Yes	Yes	switchdrive when possible, google drive, wetransfer. Internally, I use our server	Adjunct or MER Professor					Delft
215	Not sure	No		Sometimes	Yes	Git		Yes	Not sure		Myself;My supervisor;Project partner (e.g. commercial company or a collaborator)	No	Not sure		Data backup and storage solutions;Data ownership and licensing;Using version control software	EPFL	No	Not sure	Yes, urgently	Yes, urgently	No	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Not sure		PhD student					Delft
216	Yes	No		Almost never	Yes	git but mainly for code		Not sure	Not sure		Myself;My supervisor	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions	EPFL	Yes	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes	Yes, urgently	Yes, urgently	Yes	Yes	Yes	Not sure		PhD student					Delft
217	No	No		Sometimes	No		Yes	No	Yes	EPFL	Myself;My supervisor;My university/institution;Project partner (e.g. commercial company or a collaborator)	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	EPFL	No	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Not sure		Postdoc/researcher					Delft
218	No	No		Never	No		Yes	No	Yes	EPFL	Myself	No	No, I have no idea what these are		General introduction to research data management;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	EPFL	No	Yes	No	Not sure	Not sure	Not sure	Yes	Not sure	Not sure	No	No	No	No	No		Postdoc/researcher					Delft
219	Yes	No		Almost never	Yes	AiiDA		Not sure	Not sure		Myself;My supervisor	Yes	Yes, I am already using them to find existing datasets or to share my own data	zenodo, Materials Cloud Archive	Data management plan preparation;Data ownership and licensing	EPFL	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	No	No	Yes, sometimes	zenodo, Materials Cloud	Postdoc/researcher					Delft
220	No	Not sure		Almost never	Yes	git, dropbox, google drive		No	Yes	the consortium	Myself;My supervisor;Project partner (e.g. commercial company or a collaborator)	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	Yes	Yes	Yes, urgently	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No		Postdoc/researcher					Delft
221	Yes	No		Almost never	No		Not sure	Not sure	Not sure		Myself;My supervisor;My university/institution	Not sure	Yes, I am already using them to find existing datasets or to share my own data	ICSD (International crystallography database)	General introduction to research data management;How to use repositories for data sharing and searching for existing datasets	EPFL	Yes	Not sure	Yes	Yes	Yes	Not sure	Yes	Not sure	Not sure	Not sure	Not sure	Not sure	Yes	Yes, often	In ICSD (international crystallography database) and CCDC (Cambridge Crystallographic Data Centre ) ; CIF files associated with a crystal structure determination, which is used in a publication, are required for the deposition for the publication. 	Postdoc/researcher					Delft
222	Not sure	No		Frequently	No		Yes	No	No		Myself	No	No, I have no idea what these are		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions	EPFL	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	No		Tenure Track Assistant Professor					Delft
